Venue ID,Model ID,True Value,Model Prediction,Experiment instance
450b0c1fc60db1a657b50deeec77927f,4edb5b8d340f5e5cbba10c4ea550ea1e,19198.75,8952.120912011593,Experiment_SV_20240303
4a6bdef0967faba8647512f411a1ea89,4edb5b8d340f5e5cbba10c4ea550ea1e,7398.363636363636,11013.40385651465,Experiment_SV_20240303
409ca1030c2545459734dffe7e83378d,4edb5b8d340f5e5cbba10c4ea550ea1e,15735.16666666667,7098.151306333083,Experiment_SV_20240303
c01b9582d7284637871b848d8138993f,4edb5b8d340f5e5cbba10c4ea550ea1e,39197.90909090909,19511.10706875973,Experiment_SV_20240303
705b80c579c8a086335eb372de944693,4edb5b8d340f5e5cbba10c4ea550ea1e,13857.66666666667,17910.95237545849,Experiment_SV_20240303
9e63725e1fe211e0041c29052b666007,4edb5b8d340f5e5cbba10c4ea550ea1e,9886.25,7212.155895145455,Experiment_SV_20240303
0f0bbb18ae103c62ea5d9bba6150c22f,4edb5b8d340f5e5cbba10c4ea550ea1e,13187.16666666667,9939.772883271617,Experiment_SV_20240303
ea285a0712d1197ffee61fe6ecd9a69d,4edb5b8d340f5e5cbba10c4ea550ea1e,5265.166666666667,8369.556634047396,Experiment_SV_20240303
b478a0b685f9a626b5a970f7c1c0019b,4edb5b8d340f5e5cbba10c4ea550ea1e,7573.5,14974.67023294714,Experiment_SV_20240303
57c27419d9d30a75b3c9d8b23b3368f9,4edb5b8d340f5e5cbba10c4ea550ea1e,7366.090909090909,9119.238331,Experiment_SV_20240303
96d9bb39ad4d3080ae842c3a350ad84a,4edb5b8d340f5e5cbba10c4ea550ea1e,12083.0,10165.49803976473,Experiment_SV_20240303
5e019fd17b9cd6a565f136fc10503fcd,4edb5b8d340f5e5cbba10c4ea550ea1e,9120.25,7653.727689801019,Experiment_SV_20240303
9a6249d64fe8842ee51011a9897a1a99,4edb5b8d340f5e5cbba10c4ea550ea1e,6006.5,14915.72756156892,Experiment_SV_20240303
31f12f35e1ab138ef5d10f9a8617700b,4edb5b8d340f5e5cbba10c4ea550ea1e,21084.25,7765.204139783698,Experiment_SV_20240303
979fd98c2daf705ba326b0a4a4a0dbac,4edb5b8d340f5e5cbba10c4ea550ea1e,6770.416666666667,7193.985155589801,Experiment_SV_20240303
936ca609f583aec340693deca585f76b,4edb5b8d340f5e5cbba10c4ea550ea1e,17979.25,12391.33472420962,Experiment_SV_20240303
1a365fa4114fc72f75930641b6cf0415,4edb5b8d340f5e5cbba10c4ea550ea1e,1539.083333333333,8178.684718091196,Experiment_SV_20240303
081e4aeca7d0ca80ec976bf1a35cf751,4edb5b8d340f5e5cbba10c4ea550ea1e,3942.583333333333,9870.797307020412,Experiment_SV_20240303
7bfcac2db143f7a992383ee42ea8dcb6,4edb5b8d340f5e5cbba10c4ea550ea1e,9328.0,9016.081043839067,Experiment_SV_20240303
7d524a2b5d8042dd7d232823dbab7751,4edb5b8d340f5e5cbba10c4ea550ea1e,10922.83333333333,12181.72400052223,Experiment_SV_20240303
539ea45956489c2b4b814a5468247189,4edb5b8d340f5e5cbba10c4ea550ea1e,7544.909090909091,9898.914523,Experiment_SV_20240303
0d7d64b9456ba782db8bba0215164d36,4edb5b8d340f5e5cbba10c4ea550ea1e,7863.916666666667,14282.79025926969,Experiment_SV_20240303
a3344bc0297aa71dbca7148219349256,4edb5b8d340f5e5cbba10c4ea550ea1e,26971.63636363636,12518.49213,Experiment_SV_20240303
55f03b918046f2ce29510e6bb4d9dec7,4edb5b8d340f5e5cbba10c4ea550ea1e,11832.91666666667,13074.50119700276,Experiment_SV_20240303
32be492a497ec9255d845437a4569240,4edb5b8d340f5e5cbba10c4ea550ea1e,13884.75,10027.18659545481,Experiment_SV_20240303
b1af46f76ad3dc0027fe8021f26790fe,4edb5b8d340f5e5cbba10c4ea550ea1e,22815.0,10467.53599605084,Experiment_SV_20240303
27a67acf3802062e0b9dd1148b64e346,4edb5b8d340f5e5cbba10c4ea550ea1e,19777.08333333333,9984.329063536845,Experiment_SV_20240303
60496395a44f46f004e7ab8edca1df48,4edb5b8d340f5e5cbba10c4ea550ea1e,2133.416666666667,7102.104172953077,Experiment_SV_20240303
672aee5144a912e4fa89eb8b604f3cd4,4edb5b8d340f5e5cbba10c4ea550ea1e,1286.5,7440.604072025535,Experiment_SV_20240303
4f65ace4114cb894f6ef70a6e4341eb0,4edb5b8d340f5e5cbba10c4ea550ea1e,9792.583333333334,11871.37096895693,Experiment_SV_20240303
e25aaa94803f95cb2551a98d4051c409,4edb5b8d340f5e5cbba10c4ea550ea1e,9395.0,8919.787753060453,Experiment_SV_20240303
88589c0790c66c6e9e5e2b66c46f333e,4edb5b8d340f5e5cbba10c4ea550ea1e,11237.66666666667,9409.475462018512,Experiment_SV_20240303
9f4bab459e5d0162375766a7742dea32,4edb5b8d340f5e5cbba10c4ea550ea1e,22666.25,8986.484234538384,Experiment_SV_20240303
20d932f33b0655f8bfe3f1be166de285,4edb5b8d340f5e5cbba10c4ea550ea1e,14398.16666666667,14057.56915830453,Experiment_SV_20240303
a47ef15bfedc3e48ae41ca18a752af9c,4edb5b8d340f5e5cbba10c4ea550ea1e,21517.25,8204.691775390436,Experiment_SV_20240303
6a8dac8085be87a0b06d7789ee9baa08,4edb5b8d340f5e5cbba10c4ea550ea1e,12214.33333333333,7914.856934,Experiment_SV_20240303
e32c9ac940d058ce64e04499732bdd5e,4edb5b8d340f5e5cbba10c4ea550ea1e,11509.54545454545,8701.017022466522,Experiment_SV_20240303
ab0ee8cec8851aff726fe53c5330addb,4edb5b8d340f5e5cbba10c4ea550ea1e,12832.33333333333,12750.74178122975,Experiment_SV_20240303
116863f470440d41a8bba5464c6fdad7,4edb5b8d340f5e5cbba10c4ea550ea1e,7066.083333333333,8682.136256089227,Experiment_SV_20240303
5bb3d225e282509b28e64e8e959b6692,4edb5b8d340f5e5cbba10c4ea550ea1e,6404.909090909091,7412.431918476746,Experiment_SV_20240303
69994479293add0438775878889cdec9,4edb5b8d340f5e5cbba10c4ea550ea1e,20596.41666666667,12985.27032755685,Experiment_SV_20240303
0a20bf1bcc7bfff69a169633c12ef2cd,4edb5b8d340f5e5cbba10c4ea550ea1e,6611.333333333333,9884.644325615687,Experiment_SV_20240303
0fcfc25955194c92f8b6e6a5d8f651fd,4edb5b8d340f5e5cbba10c4ea550ea1e,8577.916666666666,7472.196363110507,Experiment_SV_20240303
9ad972a55b57f261972d26b82622cc43,4edb5b8d340f5e5cbba10c4ea550ea1e,9106.833333333334,6851.699523492674,Experiment_SV_20240303
470438f870e8bfead404a5853a0f19d2,4edb5b8d340f5e5cbba10c4ea550ea1e,11820.1,9282.515228472295,Experiment_SV_20240303
aa7512d4a10873eac9a9facf766f658c,4edb5b8d340f5e5cbba10c4ea550ea1e,9076.454545454546,7654.326067756468,Experiment_SV_20240303
01c7c4b037554557109289deba0484b7,4edb5b8d340f5e5cbba10c4ea550ea1e,5001.5,9919.07385937148,Experiment_SV_20240303
9cb65c6cc82af94b619c05009b8a72c9,4edb5b8d340f5e5cbba10c4ea550ea1e,2282.916666666667,8397.523971,Experiment_SV_20240303
633680f5bb8a5806bdf803219cdf8f01,4edb5b8d340f5e5cbba10c4ea550ea1e,7567.5,9267.3907206473,Experiment_SV_20240303
b471f961df77da3897d10a0b7dc65b0b,4edb5b8d340f5e5cbba10c4ea550ea1e,8839.333333333334,8221.914390601078,Experiment_SV_20240303
c22fe0c4a1166ceb056a9e293a123c19,4edb5b8d340f5e5cbba10c4ea550ea1e,1785.166666666667,15429.22172326604,Experiment_SV_20240303
709cfce036a167ce84ef29611aa87bfa,4edb5b8d340f5e5cbba10c4ea550ea1e,23385.41666666667,14534.37408042041,Experiment_SV_20240303
6e7a37362f691fd0aa0cd25d5f3267fa,4edb5b8d340f5e5cbba10c4ea550ea1e,5418.090909090909,6948.360308112313,Experiment_SV_20240303
86f5b79b94c503ccb610695fc59717bb,4edb5b8d340f5e5cbba10c4ea550ea1e,9125.083333333334,10301.45685759792,Experiment_SV_20240303
50ab04b3a38efe1efd3957e56495679f,4edb5b8d340f5e5cbba10c4ea550ea1e,13764.0,10725.31082228309,Experiment_SV_20240303
f13c865b57131a0edd3fcefdb4182d19,4edb5b8d340f5e5cbba10c4ea550ea1e,2908.666666666667,6887.227582392588,Experiment_SV_20240303
24a6372806628220e79d440b44cdfe36,4edb5b8d340f5e5cbba10c4ea550ea1e,5972.0,7369.691121288552,Experiment_SV_20240303
37dadbe3fef5ace2345f1073781b3eb1,4edb5b8d340f5e5cbba10c4ea550ea1e,4197.833333333333,12506.26124851906,Experiment_SV_20240303
b28e744e0f22eda14529d108da32e654,4edb5b8d340f5e5cbba10c4ea550ea1e,5687.833333333333,8782.417781781705,Experiment_SV_20240303
c2a87dfe412407fb3ad1ade9b0b81d25,4edb5b8d340f5e5cbba10c4ea550ea1e,3532.75,9108.098570292275,Experiment_SV_20240303
b0db2958d7bc235610e57d34aaa0e27f,4edb5b8d340f5e5cbba10c4ea550ea1e,6752.75,9501.535383913111,Experiment_SV_20240303
d518ccff306c23766edeb34736195ee6,4edb5b8d340f5e5cbba10c4ea550ea1e,5133.166666666667,7468.957087840559,Experiment_SV_20240303
e25082ceb3f7013e147e7f69334a186f,4edb5b8d340f5e5cbba10c4ea550ea1e,13444.58333333333,8546.958532883606,Experiment_SV_20240303
f1f7d89dc12c5308e3a1f37c343ba856,4edb5b8d340f5e5cbba10c4ea550ea1e,10868.75,8751.592461081395,Experiment_SV_20240303
0e54548fcb2908cacf9cc571c3e1c279,4edb5b8d340f5e5cbba10c4ea550ea1e,17570.16666666667,8800.542592462056,Experiment_SV_20240303
60841b4101122e9db18c1b67c51a4e7d,4edb5b8d340f5e5cbba10c4ea550ea1e,11659.16666666667,9384.638991367789,Experiment_SV_20240303
